cartodb_id,the_geom,city,state,shape_1,duration,summary,posted,month,country,date_time,cartodb_georef_status
3508,0101000020E61000009C6D6E4C4F4A53C07B6B60AB048F4340,Derwood,MD,Cigar,5 minutes,Slow moving cigar shaped UFO with orange and red lights.,2015-07-31,July,USA,2015-07-23,true
3903,0101000020E61000000586AC6EF59254C060C8EA56CF754140,Taylors,SC,Light,~40 minutes,"At 2000 on July 4, 2015 while outside watching our neighbors shoot off fireworks we witnessed 15 separate solid orange lights over a 45",2015-07-17,July,USA,2015-07-04,true
3808,0101000020E6100000D5E76A2BF6A154C0AE64C74620563B40,Sarasota,FL,Circle,1 minute,Unknown rotating object steadily moved across horizon while changing color and size.,2015-07-06,July,USA,2015-07-04,true
3389,0101000020E61000009F76F86BB23657C024D1CB2896034640,Dodge Center,MN,Disk,45 minutes,"Slim,round disk like hovering over the ski did not move, shown through the clouds,never seen anything like it before, have pictures.See",2015-08-06,July,USA,2015-07-31,true
3575,0101000020E6100000AA4885B1852653C008AC1C5A64B34340,Towson,MD,Fireball,2 minutes,"Standing on our porch in Towson Md we saw an orange, fiery object moving silently and rapidly in a Northwestern direction. It left no t",2015-07-23,July,USA,2015-07-18,true
3580,0101000020E610000078B988EFC4985DC00F971C774ADF4040,Rancho Palos Verdes,CA,Triangle,15-20 Seconds,"Triangle UFO hovering on top of my home then accelerate very fast, after illuminating center white light.",2015-08-06,July,USA,2015-07-18,true
2920,0101000020E6100000FB05BB61DBCC51C094C151F2EA644540,Salem,NH,Circle,10 minutes,"Round white object in southern NH sky, moved very rapidly and severely, and was visible despite foggy conditions.",2015-08-27,August,USA,2015-08-24,true
3664,0101000020E6100000BC79AA436E805DC07EE36BCF2CE14040,Westminster,CA,Teardrop,9 minutes,We observed a bright pulsing orange light either in the center or under the object. It moved very slowly and the stopped and hovered.,2015-07-17,July,USA,2015-07-12,true
3197,0101000020E61000007E00529B382554C087FE092E56B44140,Concord,NC,Oval,30 seconds,UFO with bright spotlight on the front.,2015-08-13,August,USA,2015-08-09,true
3644,0101000020E61000000F45813E91DB5EC0DE02098A1F0F4840,Port Angeles,WA,Sphere,continuous,"Bright, star like but too close, multicolored orbs hovering and moving back and forth, seem to give off rays or beams.",2015-07-17,July,USA,2015-07-13,true
